,Author_Name,Title,Author_URL,App_Version,Rating,Review,Date,text,Clean_Review,Sentiment_Score,Sentiment,entities
166,Gigi Everheart,Pricey,https://itunes.apple.com/us/reviews/id1175063515,3.433.10004,1,"Yes, this is a complaint. I was charged $24.99 per month and I do not remember signing up for an Uber pass. If I were Uber, I’d like to enforce a system to protect users from getting their credit card details stolen. There was fraud on my end and I do not appreciate how a company this big has bugs to fix. Fix this problem and if possible I’d like a refund.",2020-01-12 06:28:00,"Pricey Yes, this is a complaint. I was charged $24.99 per month and I do not remember signing up for an Uber pass. If I were Uber, I’d like to enforce a system to protect users from getting their credit card details stolen. There was fraud on my end and I do not appreciate how a company this big has bugs to fix. Fix this problem and if possible I’d like a refund.",pricey yes complaint charg per month rememb sign uber pas uber like enforc system protect user get credit card detail stolen fraud end appreci compani big bug fix fix problem possibl like refund,-0.2601,Negative,[]
15,"5193$,'soe",Terrible Customer Service,https://itunes.apple.com/us/reviews/id222093751,3.433.10004,1,"Really hard to find a phone number to talk to someone when something goes wrong and then the phone number dose not even work, says they can’t support phone support at this time. Didn’t apply a promo code correctly and then charged me an additional $5 and can’t get it corrected.  FYI 1-866-268-6964",2020-01-12 18:17:00,"Terrible Customer Service Really hard to find a phone number to talk to someone when something goes wrong and then the phone number dose not even work, says they can’t support phone support at this time. Didn’t apply a promo code correctly and then charged me an additional $5 and can’t get it corrected.  FYI 1-866-268-6964",terribl custom servic realli hard find phone number talk someon someth goe wrong phone number dose even work say support phone support time appli promo code correct charg addit get correct fyi,0.0516,Positive,"[('terribl custom servic', 'PERSON')]"
134,dreadgawd,Glitches,https://itunes.apple.com/us/reviews/id763807917,3.433.10004,2,It doesn’t update the location at all. I’m in a ride as we speak and I don’t know where I’m going because it won’t update on the app even after being updated. That’s concerning,2020-01-12 20:33:00,Glitches It doesn’t update the location at all. I’m in a ride as we speak and I don’t know where I’m going because it won’t update on the app even after being updated. That’s concerning,glitch updat locat ride speak know go updat app even updat concern,0.0,Neutral,"[('glitch updat', 'PERSON')]"
473,wcddgvhjkn,It’s hard to tip the drivers.,https://itunes.apple.com/us/reviews/id1052304387,3.433.10004,2,"On my way there I had to try and try again to tip the first driver, when I pressed on the button nothing would happen. No it was not a reception issue I tested that. Eventually it just started to work. Now after my second ride back home I cannot leave a tip at alI, I press the button again nothing happens. This is very irritating and shows what a poor quality app this is.",2020-02-12 00:50:00,"It’s hard to tip the drivers. On my way there I had to try and try again to tip the first driver, when I pressed on the button nothing would happen. No it was not a reception issue I tested that. Eventually it just started to work. Now after my second ride back home I cannot leave a tip at alI, I press the button again nothing happens. This is very irritating and shows what a poor quality app this is.",hard tip driver way tri tri tip first driver press button noth would happen recept issu test eventu start work second ride back home leav tip ali press button noth happen irrit show poor qualiti app,0.8591,Positive,"[('first', 'ORDINAL'), ('second', 'ORDINAL')]"
178,havemas,Worst ever app,https://itunes.apple.com/us/reviews/id1169593635,3.433.10004,1,There driver will cancel when you asked him to wait for you and put huge bill on you. The annoying part is that they will force you to use Uber card to pay for the cancellation and not allow you to pay the next driver.,2020-02-12 16:08:00,Worst ever app There driver will cancel when you asked him to wait for you and put huge bill on you. The annoying part is that they will force you to use Uber card to pay for the cancellation and not allow you to pay the next driver.,worst ever app driver cancel ask wait put huge bill annoy part forc use uber card pay cancel allow pay next driver,-0.8703,Negative,[]
147,estepinna,No ride,https://itunes.apple.com/us/reviews/id987675581,3.433.10004,1,I’m a long time customer Now I’m trying to get a ride and for some reason I can’t comunícate with you,2020-02-12 16:45:00,No ride I’m a long time customer Now I’m trying to get a ride and for some reason I can’t comunícate with you,ride long time custom tri get ride reason comun cate,0.0,Neutral,[]
467,Vik1111123,No way to dispute cancellation fee,https://itunes.apple.com/us/reviews/id357524016,3.433.10004,1,"If the driver didn’t come to your address and not picking up the phone, u will be charged a fee for not taking a ride. So basically u can end up without a ride and have to pay for that !",2020-02-12 19:31:00,"No way to dispute cancellation fee If the driver didn’t come to your address and not picking up the phone, u will be charged a fee for not taking a ride. So basically u can end up without a ride and have to pay for that !",way disput cancel fee driver come address pick phone u charg fee take ride basic u end without ride pay,-0.1788,Negative,[]
431,theRisSilent,New App Glitch,https://itunes.apple.com/us/reviews/id218077966,3.433.10004,1,Lately when I have a lending ride and I open the app it takes me to the home page as though I need a new ride. It oft takes a while for the app to reload and give me information about my ride. Very frustrating!,2020-02-12 22:50:00,New App Glitch Lately when I have a lending ride and I open the app it takes me to the home page as though I need a new ride. It oft takes a while for the app to reload and give me information about my ride. Very frustrating!,new app glitch late lend ride open app take home page though need new ride oft take app reload give inform ride frustrat,-0.4215,Negative,"[('frustrat', 'ORG')]"
244,kig bick,Took money without knowledge,https://itunes.apple.com/us/reviews/id981990274,3.433.10004,1,Never got an email or anything but they decided they wanted to sign me up for the uber pass and take my money without me knowing nor do I even use this app. Have been trying to get ahold of someone for 3 days and still can’t find a help number or anything! It’s ridiculous I can’t get in touch with anyone your help menu is the most useless thing I’ve ever had to try to use. By far the worst company I’ve ever dealt with. Apple never do this and gives me my money back. Your on something.,2020-02-12 23:34:00,Took money without knowledge Never got an email or anything but they decided they wanted to sign me up for the uber pass and take my money without me knowing nor do I even use this app. Have been trying to get ahold of someone for 3 days and still can’t find a help number or anything! It’s ridiculous I can’t get in touch with anyone your help menu is the most useless thing I’ve ever had to try to use. By far the worst company I’ve ever dealt with. Apple never do this and gives me my money back. Your on something.,took money without knowledg never got email anyth decid want sign uber pas take money without know even use app tri get ahold someon day still find help number anyth ridicul get touch anyon help menu useless thing ever tri use far worst compani ever dealt appl never give money back someth,-0.7184,Negative,[]
393,Shail_patel,Buggy GPS forever,https://itunes.apple.com/us/reviews/id404890407,3.433.10004,1,"What a waste app, always picks up wrong drop off and pick up location since last 4 years. All of a sudden starts rerouting in the middle of ride for no reason. This is the worst app on this whole planet. Least reliable and efficient, I would say not at all reliable. Seems like developers are least bothered in designing an efficient Uber app or fixing this problem which has been permanent by now. I would have rated negative had there been an option!",2020-03-12 00:02:00,"Buggy GPS forever What a waste app, always picks up wrong drop off and pick up location since last 4 years. All of a sudden starts rerouting in the middle of ride for no reason. This is the worst app on this whole planet. Least reliable and efficient, I would say not at all reliable. Seems like developers are least bothered in designing an efficient Uber app or fixing this problem which has been permanent by now. I would have rated negative had there been an option!",buggi gps forev wast app alway pick wrong drop pick locat sinc last year sudden start rerout middl ride reason worst app whole planet least reliabl effici would say reliabl seem like develop least bother design effici uber app fix problem perman would rate negat option,-0.8284,Negative,"[('buggi', 'PERSON'), ('forev', 'NORP'), ('locat sinc', 'PERSON'), ('last year', 'DATE'), ('negat', 'ORG')]"
